,Edades (Menor a),Total_Usos,Usos_Gen_F,Usos_Gen_M
0,18,16234,4131,12103
1,20,47381,12809,34572
2,25,423468,126163,297305
3,30,788180,227809,560371
4,35,600105,147058,453047
5,40,368058,77420,290638
6,50,435120,82024,353096
7,60,222346,44337,178009
8,85,59306,9377,49929
