,Rangos_T.Uso,Total_Usos,Usos_Lunes,Usos_Martes,Usos_Miércoles,Usos_Jueves,Usos_Viernes,Usos_Sábado,Usos_Domingo
0,0:05:00,422507,58287,65203,71153,74616,74232,38256,40760
1,0:15:00,1665825,229919,261209,287250,296518,296140,143254,151535
2,0:30:00,772691,104389,118305,136397,139378,138536,64769,70917
3,0:45:00,166650,21815,23371,28656,30323,29101,14390,18994
4,1:00:00,24754,3088,3555,4199,4324,3865,2422,3301
5,2:00:00,11625,1316,2082,2086,1944,1620,1102,1475
6,3:00:00,2887,331,564,528,545,386,221,312
7,5:00:00,2826,317,681,480,500,336,210,302
8,9:59:59,2866,298,701,536,448,349,260,274
