,Edades (Menor a),Total_Usos,Usos_Gen_F,Usos_Gen_M
0,18,20802,5066,15736
1,20,53824,16400,37424
2,25,486332,151137,335195
3,30,805992,238987,567005
4,35,618729,160472,458257
5,40,361540,80970,280570
6,50,439704,86995,352709
7,60,217418,46051,171367
8,85,54866,9758,45108
