,Rangos_T.Uso,Total_Usos,Usos_Lunes,Usos_Martes,Usos_Miércoles,Usos_Jueves,Usos_Viernes,Usos_Sábado,Usos_Domingo
0,0:05:00,345354,47161,55799,54102,53167,52994,48082,34049
1,0:15:00,1172790,158739,189989,186003,182255,181176,162448,112180
2,0:30:00,457880,59652,71584,70458,68626,71436,65688,50436
3,0:45:00,91822,10930,12579,13334,12320,13592,13453,15614
4,1:00:00,14134,1636,1824,1935,1828,1977,2051,2883
5,2:00:00,6207,686,837,885,802,961,866,1170
6,3:00:00,1314,156,163,179,172,199,188,257
7,5:00:00,1128,121,156,162,157,183,142,207
8,9:59:59,1687,196,240,235,221,286,263,246
