,Rangos_T.Uso,Total_Usos,Usos_Lunes,Usos_Martes,Usos_Miércoles,Usos_Jueves,Usos_Viernes,Usos_Sábado,Usos_Domingo
0,0:05:00,439152,62385,83201,78279,72132,55543,46697,40915
1,0:15:00,1635653,231228,316166,290179,274036,211246,166397,146401
2,0:30:00,704258,95695,135377,122329,118601,94758,71577,65921
3,0:45:00,147887,18012,27179,24591,23581,20463,16628,17433
4,1:00:00,19927,2247,3595,2999,2955,2767,2539,2825
5,2:00:00,8106,926,1386,1293,1259,1061,1038,1143
6,3:00:00,1755,223,308,289,282,178,238,237
7,5:00:00,1752,207,260,412,278,202,185,208
8,9:59:59,1886,238,357,441,247,206,170,227
