,Rangos_T.Uso,Total_Usos,Usos_Lunes,Usos_Martes,Usos_Miércoles,Usos_Jueves,Usos_Viernes,Usos_Sábado,Usos_Domingo
0,0:05:00,366044,47505,55615,58947,56416,59427,50771,37363
1,0:15:00,1433241,185816,219573,234339,227701,235713,193704,136395
2,0:30:00,706832,88645,106931,114362,112625,119651,94790,69828
3,0:45:00,157393,18684,22434,24176,23546,26766,22225,19562
4,1:00:00,23768,2589,3037,3326,3126,3948,3589,4153
5,2:00:00,11661,1166,1316,1630,1361,1741,1729,2718
6,3:00:00,2267,243,322,306,320,344,381,351
7,5:00:00,2225,257,343,338,360,344,308,275
8,9:59:59,2587,318,425,446,435,375,352,236
