,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M
0,01:00:00,7478,1581,5897
1,02:00:00,0,0,0
2,03:00:00,0,0,0
3,04:00:00,0,0,0
4,05:00:00,0,0,0
5,06:00:00,0,0,0
6,07:00:00,31841,7843,23998
7,08:00:00,83298,22971,60327
8,09:00:00,178712,49814,128898
9,10:00:00,149736,40213,109520
10,11:00:00,110443,30129,80314
11,12:00:00,107313,30258,77054
12,13:00:00,114228,32099,82127
13,14:00:00,135820,38022,97797
14,15:00:00,169031,46359,122665
15,16:00:00,157431,43471,113958
16,17:00:00,127434,35465,91969
17,18:00:00,130750,37820,92923
18,19:00:00,180425,52232,128190
19,20:00:00,158115,43463,114649
20,21:00:00,106924,29021,77902
21,22:00:00,71128,18257,52867
22,23:00:00,46501,10827,35674
23,24:00:00,25708,5386,20322
