,Rangos_T.Uso,Total_Usos,Usos_Lunes,Usos_Martes,Usos_Miércoles,Usos_Jueves,Usos_Viernes,Usos_Sábado,Usos_Domingo
0,0:05:00,85796,14221,17608,12311,13078,13738,8055,6785
1,0:15:00,378472,62874,78537,53951,58227,60250,35441,29192
2,0:30:00,205633,33026,41831,28421,31675,32678,19420,18582
3,0:45:00,61243,9068,11749,8337,9559,9367,5669,7494
4,1:00:00,18362,2415,3216,2304,2836,2909,1789,2893
5,2:00:00,9022,882,1097,997,1170,1147,972,2757
6,3:00:00,1112,148,145,150,164,154,106,245
7,5:00:00,927,114,138,128,119,126,100,202
8,9:59:59,754,108,162,126,96,95,64,103
