Nombre Estacion,Latitude,Longitude,Total Usuarios Decada
REAL DE MAYORAZGO - AVENIDA MEXICO COYOACAN E442,19.35991117,-99.16530123,15846
BRUNO TRAVE - AVENIDA MEXICO COYOACAN E443,19.35965928,-99.1620239,25772
GENERAL MANUEL RINCON - AGUSTIN GUTIERREZ E444,19.35938346,-99.15942871,16275
RIFF - AVENIDA RIO CHURUBUSCO E445,19.35827124,-99.15610662,12513
RIFF - AVENIDA RIO CHURUBUSCO E446,19.35860506,-99.15610297,22322
PROGRESO - CDA. ANTONIO MACEO E166,19.40607369,-99.1835518,16809
GENERAL SALVADOR ALVARADO - PROGRESO E167,19.40465913,-99.17937766,18796
COMERCIO - PROGRESO E168,19.40399893,-99.17760176,26799
PROSPERIDAD - PROGRESO E169,19.40302836,-99.17493644,22924
OBSERVATORIO ORIENTE - REVOLUCION E170,19.40403043,-99.18434008,23243
COMERCIO - JOSE MARTI E171,19.40259104,-99.17819829,27001
GENERAL FRANCISCO MURGUIA - JOSE MARTI E172,19.40349267,-99.18159838,15738
MINERIA - JOSE MARTI E173,19.40169226,-99.17639507,17756
MUTUALISMO - JOSE MARTI E175,19.40077489,-99.1725333,14772
PROGRESO - ASTRONOMOS E182,19.40208825,-99.17138396,12804
GENERAL GOMEZ PEDRAZA - GOBERNADOR TIBURCIO MONTIEL E184,19.41479414,-99.18508069,15541
GENERAL ANTONIO LEON - GENERAL PEDRO ANTONIO DE LOS SANTOS E185,19.41280223,-99.18280135,12317
GREGORIO V. GELATI - FRANCISCO MOLINOS DEL C. E186,19.41243273,-99.18852083,14114
GENRAL CANO - GOBERNADOR GREGORIO V. GELATI E187,19.41126952,-99.18551031,13832
GOBERNADOR MELCHOR MUZQUIZ - GOBERNADOR IGNACIO ESTEVA E188,19.41171097,-99.19014005,16995
GOBERNADOR RAFAEL REBOLLAR - GOBERNADOR JOSE CEBALLOS E189,19.41003899,-99.1879809,23598
GOBERNADOR IGNACIO ESTEVA - MAESTRO JOSE VASCONCELOS E190,19.40957443,-99.18383363,24399
GOBERNADOR RAFAEL REBOLLAR - GOBERNADOR VICENTE EGUIA E191,19.40790399,-99.18794951,33010
RUBEN DARIO - REFORMA E192,19.42592408,-99.190757,25840
RUBEN DARIO - REFORMA E193,19.42590455,-99.19073486,24206
AV. PASEO DE LA REFORMA - CIRCUITO MAHATMA GANDHI E194,19.42428548,-99.18033322,27015
CIRCUITO MAHATMA GANDHI - AV. PASEO DE LA REFORMA E195,19.42493013,-99.1851456,28940
LAGO TANGANICA - AV. EJERCITO NACIONAL E196,19.43834841,-99.19290783,35824
MIGUEL DE CERVANTES SAAVEDRA - FERROCARRIL DE CUERNAVACA E197,19.44007365,-99.20431551,46735
SOCRATES - EJERCITO NACIONAL E198,19.43816701,-99.20388698,18659
ANATOLE FRANCE - AV. EJERCITO NACIONAL E199,19.4379337,-99.19723913,28753
EMERSON - AV. EJERCITO NACIONAL E200,19.43760022,-99.1887867,24658
LOPE DE VEGA – EJERCITO NACIONAL E201,19.43742907,-99.18721388,25784
CALDERON DE LA BARCA - AV. HOMERO E202,19.43623707,-99.19889815,24799
TENNYSON - AV. HOMERO E203,19.43599112,-99.19483197,32279
TEMISTOCLES - HOMERO E204,19.43588072,-99.19152283,21870
TAINE - HOMERO E205,19.43552397,-99.18471552,32401
MOLIERE - HOMERO E206,19.43579933,-99.20142001,15523
TASSO - HOMERO E207,19.4348577,-99.18331976,14732
HESIODO - LAMARTINE E208,19.43360404,-99.18853004,16841
SOLON - HORACIO E209,19.4354744,-99.2063639,23632
EUGENIO SUE - HORACIO E210,19.43407739,-99.19409098,13465
NEWTON - HORACIO E211,19.43360521,-99.18852991,16465
HEGEL - HORACIO E212,19.43357331,-99.18809498,17475
SOLON - CICERON E213,19.43432235,-99.20631834,8778
PLATON - HORACIO E214,19.43435158,-99.20322352,7168
EDGAR ALAN POE - HORACIO E215,19.43384038,-99.19968165,6879
ALEJANDRO DUMAS - HORACIO E216,19.43342347,-99.19574386,7680
EULER - HORACIO E217,19.4328871,-99.18360501,8441
HEGEL - IBARBOUROU E218,19.43245133,-99.18803403,10995
ESOPO - FC DE CUERNAVACA E219,19.43354256,-99.20780895,15501
PLINO - PRESIDENTE MASARYK E220,19.4326534,-99.20572718,15876
EMILIO CASTELAR - PRESIDENTE MASARYK E221,19.43180263,-99.20156516,15075
ALEJANDRO DUMAS - PRESIDENTE MASARIK E222,19.4314063,-99.19577589,12386
NEWTON - PRESIDENTE MASARIK E223,19.43125021,-99.19161256,13192
HEGEL - PRESIDENTE MASARYK E224,19.4312556,-99.18806132,16701
PETRARCA - PRESIDENTE MASARYK E225,19.43117342,-99.1856108,13944
WALLON - PRESIDENTE MASARYK  E226,19.43103172,-99.18221909,14108
CAMPOS ELISEOS - PERIFERICO E227,19.4317927,-99.20737629,14977
CAMPOS ELISEOS - JEAN DE LA FONTAINE E228,19.4277062,-99.19911942,11579
DICKENS - SENECA E229,19.43051781,-99.20332833,13625
EDGAR ALAN POE - DICKENS E230,19.43010248,-99.20007382,14849
NEWTON - ARISTOTELES E231,19.42976739,-99.19349229,13433
TAINE - RUBEN DARIO E232,19.42894016,-99.18538999,19579
JULIO VERNE - LUIS G. URBINA E233,19.42931294,-99.19696812,11809
TRES PICOS - ARQUIMIDES E234,19.42782724,-99.1915371,16960
CAMPOS ELISEOS - MOLIERE E235,19.42933296,-99.20218269,12805
CAMPOS ELISEOS - MOLIERE E236,19.42946266,-99.2024723,10523
ANDRES BELLO - ELLIOT E237,19.42674269,-99.19398376,15651
ANDRES BELLO - ELLIOT E238,19.42676597,-99.19375269,13528
RINCON DEL BOSQUE - RUBEN DARIO E239,19.43015588,-99.18135679,16298
EJERCITO NACIONAL - FC DE CUERNAVACA E240,19.43855079,-99.2063028,16288
EJERCITO NACIONAL - JUAN VAZQUEZ DE LA MELLA E241,19.43862219,-99.20757931,12417
MIGUEL DE CERVANTES SAAVEDRA - PROL. MOLIERE E242,19.44034219,-99.20105013,13826
MIGUEL DE CERVANTES SAAVEDRA - LAGO FILT E243,19.44083641,-99.19671001,17824
MIGUEL DE CERVANTES SAAVEDRA - LAGO VICTORIA E244,19.44088536,-99.19331503,14408
LAGO ONEGA - AV. EJERCITO NACIONAL E245,19.43818593,-99.1904825,17269
LEIBNITZ - THIERS E246,19.43414796,-99.17983429,16846
HERSCHEL - ROUSSEAU E247,19.43227723,-99.18063758,17323
SHAKESPEARE - LAFAYETTE E248,19.43175347,-99.17739812,7363
SHAKESPEARE - DARWIN E249,19.42987716,-99.17756953,13149
DARWIN - MARIANO ESCOBEDO E250,19.42906105,-99.17966064,13309
GOETHE - DARWIN E251,19.42924757,-99.17536733,13859
VICTOR HUGO - SHAKESPEARE E252,19.427576,-99.17702065,12625
DANTE - TOLSTOI E253,19.42590153,-99.17795024,18327
CIRCUITO INTERIOR - JUAN ESCUTIA E258,19.41669788,-99.17909718,26708
12 DE OCTUBRE - MINERIA E285,19.39980232,-99.17751708,21608
13 DE SEPTIEMBRE - AVENIDA PATRIOTISMO E286,19.3991885,-99.17994402,28355
13 DE SEPTIEMBRE - PUENTE DE LA MORENA E287,19.39920192,-99.17994166,21728
CAMPOS ELISEOS - GOLDSMITH E451,19.42902129,-99.20132347,21883
LEIBNITZ - AV. EJERCITO NACIONAL E452,19.43503022,-99.17983985,27562
PEDREGAL - TEAPA E453,19.4248426,-99.20373703,7918
MONTES URALES - MONTE PELVOUX E454,19.42590622,-99.20423624,11008
PEDREGAL - FERROCARRIL DE CUERNAVACA E455,19.42630988,-99.20330298,10268
ALPES - MONTES ESCANDINAVOS E456,19.42752491,-99.20841059,8157
AV. PRADO NORTE - EXPLANADA E457,19.42702886,-99.21284738,9191
MONTES URALES - VOLCAN E458,19.42867679,-99.20660768,10327
VOLCAN - MONTES URALES E459,19.42924596,-99.20726782,14401
JUAN VAZQUEZ DE MELLA - HOMERO E460,19.43701432,-99.20793337,11968
PRESA DON MARTIN - BOULEVARD MIGUEL DE CERVANTES E461,19.44010898,-99.21002993,12231
PRESA FALCON - DANXHO E462,19.44233628,-99.20519683,10683
LAGO ANDROMACO - LAGO ZURICH E463,19.44233416,-99.20249475,10866
MATEO ALEMAN - PROLONGACION MOLIERE E464,19.44242877,-99.19983787,10229
LAGUNA DE GINEBRA - LAGO WETTER E465,19.44503687,-99.19407691,8637
LAGO ONEGA - LAGO LADOGA E466,19.44269074,-99.19083055,9661
LAGO MAYOR - LAGO ALBERTO E467,19.44040402,-99.18678598,8408
LAGO XOCHIMILCO - AV. EJERCITO NACIONAL E468,19.43661108,-99.17968317,7369
BAHIA DE LA CONCEPCION - BAHIA DE TODOS LOS SANTOS E469,19.43418011,-99.17309106,10197
BAHIA DE LAS PALMAS - BAHIA DE TODOS LOS SANTOS E470,19.43504153,-99.17387879,16513
BAHIA DE CHACHALACAS - BAHIA SANTA BARBARA E471,19.43629151,-99.1749017,13067
BAHIA SANTA BARBARA - BAHIA DE BALLENAS E472,19.43767181,-99.17710885,16088
BAHIA DEL ESPIRITU SANTO - BAHIA DE BANDERAS E473,19.43814873,-99.17518876,12487
BAHIA DE SAN HIPOLITO - BAHIA DEL ESPIRITU SANTO E474,19.43898862,-99.17754866,16598
LAGO MURITZ - LAGO ALBERTO E475,19.43925142,-99.18106727,17816
LAGO COMO - LAGUNA DE MAYRAN E476,19.44213415,-99.18443138,17165
LAGO ISEO - LAGUNA DE MAYRAN E477,19.44091082,-99.1817433,7632
LAGUNA DE MAYRAN - LAGO CHALCO E478,19.44081984,-99.17696275,7602
LAGO MURITZ - AV. MARINA NACIONAL E479,19.4444404,-99.17966307,5304
LAGO ISEO - AV. MARINA NACIONAL E480,19.44608147,-99.18165335,4548
