,Edades (Menor a),Total_Usos,Usos_Gen_F,Usos_Gen_M
0,18,13801,3124,10677
1,20,34746,8400,26346
2,25,328038,101981,226057
3,30,715514,218060,497454
4,35,569905,147730,422175
5,40,372617,83071,289546
6,50,396892,74294,322598
7,60,203240,38367,164873
8,85,71249,10415,60834
