,Edades (Menor a),Total_Usos,Usos_Gen_F,Usos_Gen_M
0,18,5785,1369,4416
1,20,10952,3900,7052
2,25,120120,40022,80098
3,30,240127,78438,161689
4,35,194545,57508,137037
5,40,123145,30029,93116
6,50,140801,31875,108926
7,60,73696,16151,57545
8,85,18910,2991,15919
