,Edades (Menor a),Total_Usos,Usos_Gen_F,Usos_Gen_M
0,18,15216,3195,12021
1,20,45774,12025,33749
2,25,419670,125670,294000
3,30,833589,233951,599638
4,35,619796,155361,464435
5,40,395071,82202,312869
6,50,446596,81986,364610
7,60,228701,42748,185953
8,85,67807,9891,57916
