,Rangos_T.Uso,Total_Usos,Usos_Lunes,Usos_Martes,Usos_Miércoles,Usos_Jueves,Usos_Viernes,Usos_Sábado,Usos_Domingo
0,0:05:00,174493,28281,25265,25338,33075,33818,15301,13415
1,0:15:00,538724,86083,78375,79168,102553,105531,46587,40427
2,0:30:00,164055,24798,22056,22482,31592,30037,16739,16351
3,0:45:00,35334,4503,4513,4400,6063,5441,4373,6041
4,1:00:00,7021,842,901,834,1151,1038,834,1421
5,2:00:00,4770,627,734,547,717,786,653,706
6,3:00:00,1315,150,214,150,240,259,116,186
7,5:00:00,1235,164,156,135,222,240,153,165
8,9:59:59,1134,143,147,141,228,248,130,97
