,Edades (Menor a),Total_Usos,Usos_Gen_F,Usos_Gen_M
0,18,13236,2382,10854
1,20,35260,9161,26099
2,25,357299,112648,244651
3,30,725165,213409,511756
4,35,558992,142567,416425
5,40,353376,74875,278501
6,50,389602,73199,316403
7,60,196627,37035,159592
8,85,64550,9816,54734
