,Edades (Menor a),Total_Usos,Usos_Gen_F,Usos_Gen_M,Usos_Otro
0,18,1342,235,818,289
1,20,27651,7216,18029,2406
2,25,206210,66495,128898,10817
3,30,495541,170801,309870,14870
4,35,490856,142592,337105,11159
5,40,296704,76280,214668,5756
6,50,316957,67562,244440,4955
7,60,156086,29575,123949,2562
8,85,59662,9787,49207,668
