,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M,Usos_Otro
0,01:00:00,3346,598,2710,38
1,02:00:00,583,69,513,1
2,03:00:00,301,31,270,0
3,04:00:00,5,0,5,0
4,05:00:00,0,0,0,0
5,06:00:00,5161,1133,3986,42
6,07:00:00,21399,5245,15886,268
7,08:00:00,50350,12433,37351,566
8,09:00:00,89270,22512,65372,1386
9,10:00:00,82052,21470,58868,1714
10,11:00:00,67682,17772,48303,1607
11,12:00:00,68150,17619,48925,1606
12,13:00:00,74280,19025,53293,1962
13,14:00:00,86646,22672,61653,2321
14,15:00:00,99928,25818,71360,2750
15,16:00:00,97052,25258,69219,2575
16,17:00:00,86702,22916,61460,2326
17,18:00:00,95555,25504,67476,2575
18,19:00:00,108545,28528,77522,2495
19,20:00:00,84269,20820,61351,2098
20,21:00:00,53509,12774,39451,1284
21,22:00:00,35180,7774,26494,912
22,23:00:00,22401,4567,17318,516
23,24:00:00,11277,2297,8673,307
