,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M
0,01:00:00,10672,1960,8712
1,02:00:00,1,0,1
2,03:00:00,0,0,0
3,04:00:00,0,0,0
4,05:00:00,0,0,0
5,06:00:00,12701,2399,10302
6,07:00:00,55753,13105,42648
7,08:00:00,146274,37331,108943
8,09:00:00,281837,71044,210793
9,10:00:00,216630,53730,162900
10,11:00:00,145781,36937,108844
11,12:00:00,133941,33892,100049
12,13:00:00,140782,35144,105638
13,14:00:00,171815,42725,129090
14,15:00:00,219107,53488,165619
15,16:00:00,212406,52267,160139
16,17:00:00,172894,42687,130207
17,18:00:00,194667,50000,144667
18,19:00:00,280981,71898,209083
19,20:00:00,226218,55319,170899
20,21:00:00,147263,35137,112126
21,22:00:00,95948,22418,73530
22,23:00:00,61014,13028,47986
23,24:00:00,33691,6642,27049
