,Rangos_T.Uso,Total_Usos,Usos_Lunes,Usos_Martes,Usos_Miércoles,Usos_Jueves,Usos_Viernes,Usos_Sábado,Usos_Domingo
0,0:05:00,155961,24753,25103,21830,25434,23628,15609,19604
1,0:15:00,618292,95523,102091,87160,101657,92604,61966,77291
2,0:30:00,338211,52095,55202,47285,54536,49419,35122,44552
3,0:45:00,95338,14590,14423,13064,14343,13633,10815,14470
4,1:00:00,20894,3413,2746,2811,2901,2719,2532,3772
5,2:00:00,10533,1417,1241,1131,1147,1379,1764,2454
6,3:00:00,1558,221,224,223,228,172,198,292
7,5:00:00,1376,180,196,193,189,174,214,230
8,9:59:59,1480,237,233,227,237,197,151,198
