Nombre Estacion,Latitude,Longitude,Alcaldia
ALFONSO REYES - ATLIXCO E75,19.40872694,-99.17668969,CUAUHTEMOC
CHILPANCINGO - CAMPECHE E76,19.40873647,-99.16991615,CUAUHTEMOC
CHOAPAN - TAMAULIPAS E77,19.40677153,-99.1783198,CUAUHTEMOC
BENJAMIN HILL - TAMAULIPAS E78,19.40751092,-99.17738243,CUAUHTEMOC
SALTILLO - ALFONSO REYES E79,19.40753941,-99.17442671,CUAUHTEMOC
NUEVO LEON - AGUASCALIENTES E80,19.40730769,-99.17212025,CUAUHTEMOC
AGUASCALIENTES - INSURGENTES E81,19.40800424,-99.16847661,CUAUHTEMOC
INDEPENDENCIA - MARROQUI E82,19.43311864,-99.14368965,CUAUHTEMOC
NUEVO LEON - ALFONSO REYES E83,19.40629687,-99.17211821,CUAUHTEMOC
CHILPANCINGO - TLAXCALA E84,19.40702561,-99.16958885,CUAUHTEMOC
ROSAS MORENO - SULLIVAN E85,19.43425429,-99.16250671,CUAUHTEMOC
SULLIVAN - INSURGENTES E86,19.43238257,-99.15907884,CUAUHTEMOC
GANTE - VENUSTIANO CARRANZA E87,19.43183059,-99.13974302,CUAUHTEMOC
2A CERRADA DE 5 DE MAYO - PALMA E88,19.43381755,-99.13530422,CUAUHTEMOC
REPUBLICA DE GUATEMALA - MONTE DE PIEDAD E89,19.43494431,-99.13398669,CUAUHTEMOC
JOSE MARIA PINO SUAREZ - CORREGIDORA E90,19.43170257,-99.13244573,CUAUHTEMOC
REPUBLICA DE CUBA - ALLENDE E91,19.43740188,-99.13757215,CUAUHTEMOC
SAN ILDEFONSO - REPUBLICA DE ARGENTINA E92,19.43652909,-99.13149504,CUAUHTEMOC
PALMA NORTE - REPUBLICA DE CUBA E93,19.43674779,-99.13480964,CUAUHTEMOC
LIC. VERDAD - MONEDA E94,19.43376861,-99.13091659,CUAUHTEMOC
20 DE NOVIEMBRE - VENUSTIANO CARRANZA E95,19.43072228,-99.13369925,CUAUHTEMOC
LOPEZ - AYUNTAMIENTO E96,19.43063483,-99.14248012,CUAUHTEMOC
REPUBLICA DE SALVADOR - PINO SUAREZ E97,19.42919383,-99.1327602,CUAUHTEMOC
EMILIO DONDE - AV. BALDERAS E98,19.43026647,-99.14860732,CUAUHTEMOC
ERNESTO PUGIBET - LUIS MOYA E99,19.4299568,-99.14590994,CUAUHTEMOC
20 DE NOVIEMBRE - MESONES E100,19.42848717,-99.13380217,CUAUHTEMOC
1ER. CALLEJON DE MESONES - MESONES E101,19.42836409,-99.13589348,CUAUHTEMOC
ECHEVESTE - BOLIVAR E102,19.42821127,-99.13948771,CUAUHTEMOC
JOAQUIN VELAZQUEZ DE LEON - GARCIA ICAZBALCETA E103,19.4416673,-99.16521601,CUAUHTEMOC
SAN JERONIMO - ISABEL LA CATOLICA E104,19.42705892,-99.13711716,CUAUHTEMOC
SAN JERONIMO - 5 DE FEBRERO E105,19.42675437,-99.13501286,CUAUHTEMOC
SAN JERONIMO - JOSE MARIA PINO SUAREZ E106,19.42649368,-99.13353874,CUAUHTEMOC
TOLSA - BALDERAS E107,19.42733372,-99.14997032,CUAUHTEMOC
TOLSA - BALDERAS E108,19.42731412,-99.14953568,CUAUHTEMOC
NEZAHUALCOYOTL - ISABEL LA CATOLICA E109,19.4253186,-99.13742747,CUAUHTEMOC
DR. VALENZUELA - DR. RIO DE LA LOZA E110,19.42513745,-99.14338749,CUAUHTEMOC
GUILLERMO PRIETO - JOAQUIN VELAZQUEZ DE LEON E111,19.43824277,-99.1659446,CUAUHTEMOC
AV. MORELOS - ABRAHAM GONZALEZ E112,19.43282588,-99.15173598,CUAUHTEMOC
GENERAL PRIM - VERSALLES E113,19.4303676,-99.15441718,CUAUHTEMOC
LUCERNA - ABRAHAM GONZALEZ E114,19.42899124,-99.15361752,CUAUHTEMOC
