,Edades (Menor a),Total_Usos,Usos_Gen_F,Usos_Gen_M
0,18,16087,4737,11350
1,20,38967,12311,26656
2,25,327426,109105,218321
3,30,571233,177089,394144
4,35,421464,114425,307039
5,40,249750,58686,191064
6,50,293920,62867,231019
7,60,138352,30497,107855
8,85,35117,5514,29603
