,Rangos_T.Uso,Total_Usos,Usos_Lunes,Usos_Martes,Usos_Miércoles,Usos_Jueves,Usos_Viernes,Usos_Sábado,Usos_Domingo
0,0:05:00,443665,78553,79394,60933,71655,68172,37842,47116
1,0:15:00,1685859,297963,302371,234806,276974,263710,137186,172849
2,0:30:00,737505,127661,131500,102171,118750,116726,60270,80427
3,0:45:00,157866,26454,26552,20084,22952,23655,15331,22838
4,1:00:00,21425,3454,3349,2580,2849,2795,2620,3778
5,2:00:00,8071,1297,1303,928,1180,1051,936,1376
6,3:00:00,1517,275,234,195,207,229,122,255
7,5:00:00,1543,267,232,154,225,225,153,287
8,9:59:59,1799,326,273,194,290,274,214,228
