,Edades (Menor a),Total_Usos,Usos_Gen_F,Usos_Gen_M,Usos_Otro
0,18,2163,763,1079,321
1,20,11562,3035,7654,873
2,25,81998,26418,51467,4113
3,30,184817,57624,122129,5064
4,35,169437,47370,117959,4108
5,40,107861,26304,79446,2111
6,50,118137,24091,92246,1800
7,60,62286,12267,48807,1212
8,85,23058,3612,19220,226
