,Rangos_T.Uso,Total_Usos,Usos_Lunes,Usos_Martes,Usos_Miércoles,Usos_Jueves,Usos_Viernes,Usos_Sábado,Usos_Domingo
0,0:05:00,396922,65715,57443,57427,67422,59917,44689,44309
1,0:15:00,1436075,230102,208748,209556,246220,222499,160361,158589
2,0:30:00,587882,91490,82816,85558,98175,91343,66950,71550
3,0:45:00,113863,17058,14181,16574,16634,15698,13675,20043
4,1:00:00,15831,2357,1958,2298,2100,1900,2063,3155
5,2:00:00,6475,1054,762,893,929,873,786,1178
6,3:00:00,1192,197,136,184,153,142,164,216
7,5:00:00,1152,186,125,154,137,161,164,225
8,9:59:59,1429,222,182,218,205,203,200,199
